Geography,Population Estimate (as of July 1) - 2018
"Bell Gardens city, California",42331
"Beverly city, Massachusetts",42312
"Pine Bluff city, Arkansas",42271
"Oakley city, California",42129
"Urbana city, Illinois",42046
"Rancho Palos Verdes city, California",41928
"Moline city, Illinois",41902
"Puyallup city, Washington",41886
"Leominster city, Massachusetts",41823
"Coppell city, Texas",41818
"Midland city, Michigan",41800
"Apache Junction city, Arizona",41739
"Westfield city, Massachusetts",41680
"Manassas city, Virginia",41641
"Grove City city, Ohio",41625
"Woonsocket city, Rhode Island",41603
"Oviedo city, Florida",41557
"La Quinta city, California",41535
"Westfield city, Indiana",41528
"Huntsville city, Texas",41521
"Gainesville city, Georgia",41464
"Spring Hill city, Tennessee",41464
"Kearny town, New Jersey",41422
"Shakopee city, Minnesota",41362
"Findlay city, Ohio",41324
"Belleville city, Illinois",41290
"Brighton city, Colorado",41254
"Bremerton city, Washington",41235
"Weslaco city, Texas",41171
"Wentzville city, Missouri",41164
"Shelton city, Connecticut",41097
"Greenacres city, Florida",41084
"Schertz city, Texas",41057
"Cedar Falls city, Iowa",41048
"Maplewood city, Minnesota",41004
"Bartlett village, Illinois",40931
"Hickory city, North Carolina",40925
"Fitchburg city, Massachusetts",40882
"Buffalo Grove village, Illinois",40853
"Wilkes-Barre city, Pennsylvania",40806
"Danville city, Virginia",40693
"Hutchinson city, Kansas",40623
"Gallatin city, Tennessee",40457
"Florence city, Alabama",40428
"Bullhead City city, Arizona",40421
"Lancaster city, Ohio",40414
"Woburn city, Massachusetts",40397
"Westerville city, Ohio",40387
"Covington city, Kentucky",40366
"Holyoke city, Massachusetts",40358
"San Gabriel city, California",40335
"Farmers Branch city, Texas",40209
"Hagerstown city, Maryland",40205
"Friendswood city, Texas",40181
"Chelsea city, Massachusetts",40160
"Calexico city, California",40139
"Los Banos city, California",40074
"Quincy city, Illinois",40042
"Crystal Lake city, Illinois",40036
"Royal Palm Beach village, Florida",40018
"Marion city, Iowa",39979
"Spanish Fork city, Utah",39961
"Hallandale Beach city, Florida",39940
"Delaware city, Ohio",39930
"La Puente city, California",39908
"Cape Girardeau city, Missouri",39853
"Marlborough city, Massachusetts",39825
"Newnan city, Georgia",39784
"Hollister city, California",39749
"New Berlin city, Wisconsin",39733
"Keizer city, Oregon",39692
"Sumter city, South Carolina",39656
"Hilton Head Island town, South Carolina",39639
"Romeoville village, Illinois",39624
"Indian Trail town, North Carolina",39619
"Carol Stream village, Illinois",39601
"Streamwood village, Illinois",39570
"Lake Oswego city, Oregon",39532
"Lancaster city, Texas",39477
"Montclair city, California",39437
"Issaquah city, Washington",39378
"Columbia city, Tennessee",39376
"Duncanville city, Texas",39364
"Milton city, Georgia",39217
"Culver City city, California",39214
"Annapolis city, Maryland",39174
"Plant City city, Florida",39156
"Norwich city, Connecticut",39136
"Germantown city, Tennessee",39099
"Northglenn city, Colorado",39010
"Hurst city, Texas",38992
"Wheeling village, Illinois",38878
"Roy city, Utah",38773
"Brookfield city, Wisconsin",38770
"Pacifica city, California",38759
"Clovis city, New Mexico",38680
"Wausau city, Wisconsin",38580
"Lynnwood city, Washington",38511
"Mooresville town, North Carolina",38431
"Pleasant Grove city, Utah",38428
"Martinez city, California",38402
"Warren city, Ohio",38382
"Reynoldsburg city, Ohio",38278
"Hobbs city, New Mexico",38277
"Lake Worth city, Florida",38267
"Stanton city, California",38234
"Tupelo city, Mississippi",38206
"Grants Pass city, Oregon",38191
"Huber Heights city, Ohio",38174
"Olive Branch city, Mississippi",38149
"Longview city, Washington",38112
"Dover city, Delaware",38079
"Rosenberg city, Texas",38061
"Aventura city, Florida",37988
"Fort Lee borough, New Jersey",37921
"Atlantic City city, New Jersey",37804
"Hanover Park village, Illinois",37747
"Carpentersville village, Illinois",37744
"Rock Island city, Illinois",37678
"Menomonee Falls village, Wisconsin",37671
"Spartanburg city, South Carolina",37644
"Florence city, South Carolina",37625
"Valley Stream village, New York",37523
"Muskogee city, Oklahoma",37402
"Greenfield city, Wisconsin",37358
"Meridian city, Mississippi",37325
"Winter Springs city, Florida",37321
"Texarkana city, Texas",37295
"Muskegon city, Michigan",37287
"Wildomar city, California",37280
"Braintree Town city, Massachusetts",37250
"Park Ridge city, Illinois",37240
"Cottage Grove city, Minnesota",37208
"Hot Springs city, Arkansas",37169
"San Juan city, Texas",37154
"Oregon City city, Oregon",37129
"Beloit city, Wisconsin",37018
"Panama City city, Florida",36908
"Lima city, Ohio",36862
"West Hollywood city, California",36854
"Waxahachie city, Texas",36807
"Portage city, Indiana",36806
"Holly Springs town, North Carolina",36749
"Addison village, Illinois",36724
"Owasso city, Oklahoma",36722
"Monrovia city, California",36715
"Clermont city, Florida",36693
"Rome city, Georgia",36634
"New Albany city, Indiana",36604
"Dunedin city, Florida",36580
"Moorpark city, California",36576
"West Fargo city, North Dakota",36566
"Bettendorf city, Iowa",36543
"Lincoln Park city, Michigan",36517
"Claremont city, California",36478
"Oak Creek city, Wisconsin",36470
"Phenix City city, Alabama",36435
"Roseville city, Minnesota",36433
"Bartlesville city, Oklahoma",36423
"Hilliard city, Ohio",36414
"Benton city, Arkansas",36403
"Lauderdale Lakes city, Florida",36324
"Calumet City city, Illinois",36240
"Tucker city, Georgia",36206
"Temple City city, California",36120
"Marion city, Ohio",36087
"Leavenworth city, Kansas",36062
"San Juan Capistrano city, California",36013
"Richfield city, Minnesota",35990
"Del Rio city, Texas",35954
"Watertown Town city, Massachusetts",35954
"Lewiston city, Maine",35944
"Richmond city, Kentucky",35894
"Franklin city, Wisconsin",35872
"Cooper City city, Florida",35853
"La Vergne city, Tennessee",35819
"Peachtree City city, Georgia",35766
"Mount Vernon city, Washington",35741
"Bell city, California",35728
"Mount Juliet city, Tennessee",35725
"El Mirage city, Arizona",35670
"Prattville city, Alabama",35662
"Eagle Mountain city, Utah",35616
"Gahanna city, Ohio",35551
"Manhattan Beach city, California",35532
"Upper Arlington city, Ohio",35522
"Wildwood city, Missouri",35517
"Lufkin city, Texas",35510
"Inver Grove Heights city, Minnesota",35481
"La Porte city, Texas",35423
"Richmond city, Indiana",35353
"Monroe city, North Carolina",35311
"Tooele city, Utah",35251
"Oswego village, Illinois",35237
"Gadsden city, Alabama",35157
"Lebanon city, Tennessee",35050
"Pleasant Hill city, California",34903
"Brunswick city, Ohio",34897
"Stow city, Ohio",34857
"East Point city, Georgia",34849
"Riviera Beach city, Florida",34834
"Merrillville town, Indiana",34750
"Post Falls city, Idaho",34691
"Englewood city, Colorado",34690
"Leawood city, Kansas",34689
"McMinnville city, Oregon",34617
"Menlo Park city, California",34549
"Socorro city, Texas",34533
"Vestavia Hills city, Alabama",34461
"Norristown borough, Pennsylvania",34422
"Georgetown city, Kentucky",34395
"Plainfield town, Indiana",34386
"Wenatchee city, Washington",34329
"University City city, Missouri",34322
"Butte-Silver Bow (balance), Montana",34284
"Goldsboro city, North Carolina",34234
"Torrington city, Connecticut",34228
"Douglasville city, Georgia",34190
"Beverly Hills city, California",34183
"Kennesaw city, Georgia",34172
"Adelanto city, California",34160
"Foster City city, California",34151
"Cottonwood Heights city, Utah",34117
"Pullman city, Washington",34019
"Cookeville city, Tennessee",34005
"San Dimas city, California",33982
"Sun Prairie city, Wisconsin",33974
"Deer Park city, Texas",33931
"Seaside city, California",33930
"Glendale Heights village, Illinois",33928
"Chester city, Pennsylvania",33909
"Myrtle Beach city, South Carolina",33908
"North Ridgeville city, Ohio",33889
"Salisbury city, North Carolina",33834
"Kearney city, Nebraska",33761
"University Place city, Washington",33740
"Dana Point city, California",33730
"Valparaiso city, Indiana",33729
"Newark city, Delaware",33673
"Fairborn city, Ohio",33658
"Midvale city, Utah",33636
"Parkland city, Florida",33631
"Mason city, Ohio",33586
"Woodridge village, Illinois",33566
"Goshen city, Indiana",33566
"Nacogdoches city, Texas",33542
"Long Beach city, New York",33534
"DeLand city, Florida",33532
"Dalton city, Georgia",33500
"San Luis city, Arizona",33490
"Estero village, Florida",33474
"Lake Stevens city, Washington",33378
"Alabaster city, Alabama",33340
"Holland city, Michigan",33327
"Franklin Town city, Massachusetts",33230
"Northbrook village, Illinois",33167
"Fair Lawn borough, New Jersey",33128
"Springville city, Utah",33104
"Andover city, Minnesota",33072
"Cedar City city, Utah",33055
"St. Charles city, Illinois",33032
"Bay City city, Michigan",33019
"Walla Walla city, Washington",32986
"Hinesville city, Georgia",32872
"Houma city, Louisiana",32864
"Lewiston city, Idaho",32817
"Salisbury city, Maryland",32809
"Lawndale city, California",32754
"Copperas Cove city, Texas",32658
"Matthews town, North Carolina",32635
"Manitowoc city, Wisconsin",32627
"Jackson city, Michigan",32605
"American Fork city, Utah",32519
"Bethel Park municipality, Pennsylvania",32501
"Florence city, Kentucky",32479
"Laramie city, Wyoming",32473
"Elk Grove Village village, Illinois",32458
"Massillon city, Ohio",32410
"Des Moines city, Washington",32364
"Eastpointe city, Michigan",32347
"Helena city, Montana",32315
"Dania Beach city, Florida",32271
"Southlake city, Texas",32269
"Spring Valley village, New York",32261
"Pekin city, Illinois",32255
"Woodstock city, Georgia",32234
"Westlake city, Ohio",32233
"El Paso de Robles (Paso Robles) city, California",32212
"La Verne city, California",32206
"Rome city, New York",32204
"College Park city, Maryland",32196
"Juneau city and borough, Alaska",32113
"Greer city, South Carolina",32102
"Kaysville city, Utah",32095
"Bangor city, Maine",31997
"Clearfield city, Utah",31967
"Gillette city, Wyoming",31903
"Garfield city, New Jersey",31866
"Harker Heights city, Texas",31857
"Weatherford city, Texas",31836
"Liberty city, Missouri",31779
"Dover city, New Hampshire",31771
"Alamogordo city, New Mexico",31701
"Savage city, Minnesota",31694
"Statesboro city, Georgia",31667
"Miami Lakes town, Florida",31628
"North Olmsted city, Ohio",31591
"West Bend city, Wisconsin",31590
"Bowling Green city, Ohio",31578
"Petersburg city, Virginia",31567
"Fairbanks city, Alaska",31516
"Shawnee city, Oklahoma",31434
"Wheat Ridge city, Colorado",31400
"Saratoga Springs city, Utah",31393
"Princeton, New Jersey",31386
"Rochester city, New Hampshire",31366
"Naugatuck borough, Connecticut",31288
"Banning city, California",31253
"Sherwood city, Arkansas",31237
"Mundelein village, Illinois",31234
"San Pablo city, California",31124
"Michigan City city, Indiana",31118
"Winter Park city, Florida",31059
"Hopkinsville city, Kentucky",31026
"Laguna Hills city, California",31024
"Ithaca city, New York",30999
"Morgantown city, West Virginia",30955
"Redmond city, Oregon",30914
"Brooklyn Center city, Minnesota",30910
"Algonquin village, Illinois",30910
"Danville city, Illinois",30898
"Nicholasville city, Kentucky",30829
"Goleta city, California",30821
"Aiken city, South Carolina",30778
"Cleburne city, Texas",30720
"Holladay city, Utah",30697
"Los Gatos town, California",30680
"Saratoga city, California",30599
"Gurnee village, Illinois",30576
"Cibolo city, Texas",30563
"Opelika city, Alabama",30555
"Los Altos city, California",30531
"Garner town, North Carolina",30502
"Poughkeepsie city, New York",30469
"Burlingame city, California",30467
"Fountain city, Colorado",30454
"Galesburg city, Illinois",30432
"Long Branch city, New Jersey",30406
"Gloucester city, Massachusetts",30401
"Syracuse city, Utah",30400
"North Tonawanda city, New York",30372
"San Carlos city, California",30364
"Atascadero city, California",30330
"Kingman city, Arizona",30314
"LaGrange city, Georgia",30291
"Sahuarita town, Arizona",30282
"North Royalton city, Ohio",30239
"Ballwin city, Missouri",30188
"Fitchburg city, Wisconsin",30170
"Elizabethtown city, Kentucky",30157
"New Bern city, North Carolina",30113
"Crown Point city, Indiana",30059
"Madison Heights city, Michigan",30039
"Santa Paula city, California",30011
"Walnut city, California",30006
"Texarkana city, Arkansas",29972
"Morristown city, Tennessee",29926
"Sanford city, North Carolina",29917
"Greenville city, Mississippi",29898
"Westfield town, New Jersey",29881
"Rahway city, New Jersey",29880
"Lawrenceville city, Georgia",29795
"North Chicago city, Illinois",29770
"Cornelius town, North Carolina",29748
"Suisun City city, California",29713
"Seguin city, Texas",29700
"Chamblee city, Georgia",29691
"Parkersburg city, West Virginia",29675
"Kent city, Ohio",29662
"Stockbridge city, Georgia",29638
"Oak Park city, Michigan",29628
"Highland Park city, Illinois",29622
"O'Fallon city, Illinois",29584
"Chicago Heights city, Illinois",29571
"Duluth city, Georgia",29527
"East Palo Alto city, California",29519
"Eagle Pass city, Texas",29487
"Atwater city, California",29479
"Carlsbad city, New Mexico",29331
"Russellville city, Arkansas",29325
"Jamestown city, New York",29315
"Canton city, Georgia",29306
"Port Chester village, New York",29282
"SeaTac city, Washington",29239
"Fuquay-Varina town, North Carolina",29200
"Maryville city, Tennessee",29192
"Niles village, Illinois",29184
"Fredericksburg city, Virginia",29144
"Oak Ridge city, Tennessee",29109
"New Iberia city, Louisiana",29099
"Southgate city, Michigan",29088
"Raytown city, Missouri",28993
"Windsor town, Colorado",28967
"Ridgecrest city, California",28940
"Port Huron city, Michigan",28927
"Lafayette city, Colorado",28924
"Paragould city, Arkansas",28912
"Desert Hot Springs city, California",28885
"Casselberry city, Florida",28876
"Central city, Louisiana",28864
"Agawam Town city, Massachusetts",28854
"Lake in the Hills village, Illinois",28835
